2025-12-02 18:02:25.148 [main] INFO  com.example.demo.DemoApplication [unknown-node:8080] - Starting DemoApplication using Java 11.0.11 on zhouwenwudeMacBook-Pro.local with PID 88517 (/Users/markchou/Documents/code-demo-pratice/application-demo/target/classes started by markchou in /Users/markchou/Documents/code-demo-pratice)
2025-12-02 18:02:25.150 [main] INFO  com.example.demo.DemoApplication [unknown-node:8080] - The following 1 profile is active: "local-nacos"
2025-12-02 18:02:25.192 [main] INFO  c.a.c.n.c.NacosConfigDataLoader [unknown-node:8080] - [Nacos Config] Load config[dataId=nacos-demo-service-local.properties, group=DEFAULT_GROUP] success
2025-12-02 18:02:25.913 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-02 18:02:25.914 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2025-12-02 18:02:25.926 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Finished Spring Data repository scanning in 6 ms. Found 0 Elasticsearch repository interfaces.
2025-12-02 18:02:26.190 [main] DEBUG org.apache.ibatis.logging.LogFactory [unknown-node:8080] - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2025-12-02 18:02:26.199 [main] DEBUG o.m.s.mapper.ClassPathMapperScanner [unknown-node:8080] - Identified candidate component class: file [/Users/markchou/Documents/code-demo-pratice/application-demo/target/classes/com/example/demo/mapper/SysUserMapper.class]
2025-12-02 18:02:26.200 [main] DEBUG o.m.s.mapper.ClassPathMapperScanner [unknown-node:8080] - Creating MapperFactoryBean with name 'sysUserMapper' and 'com.example.demo.mapper.SysUserMapper' mapperInterface
2025-12-02 18:02:26.201 [main] DEBUG o.m.s.mapper.ClassPathMapperScanner [unknown-node:8080] - Enabling autowire by type for MapperFactoryBean with name 'sysUserMapper'.
2025-12-02 18:02:26.382 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-02 18:02:26.382 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2025-12-02 18:02:26.410 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport [unknown-node:8080] - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.PayAccountGroupRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository, org.springframework.data.elasticsearch.repository.ElasticsearchRepository
2025-12-02 18:02:26.469 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Finished Spring Data repository scanning in 86 ms. Found 1 Elasticsearch repository interfaces.
2025-12-02 18:02:26.473 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-02 18:02:26.473 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2025-12-02 18:02:26.478 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport [unknown-node:8080] - Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.PayAccountGroupRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
2025-12-02 18:02:26.481 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Finished Spring Data repository scanning in 7 ms. Found 0 Reactive Elasticsearch repository interfaces.
2025-12-02 18:02:26.490 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-02 18:02:26.490 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-02 18:02:26.507 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport [unknown-node:8080] - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ProductRepository; If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository
2025-12-02 18:02:26.513 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Finished Spring Data repository scanning in 15 ms. Found 1 JPA repository interfaces.
2025-12-02 18:02:26.535 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-02 18:02:26.537 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-02 18:02:26.554 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport [unknown-node:8080] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.PayAccountGroupRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-12-02 18:02:26.555 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport [unknown-node:8080] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ProductRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-12-02 18:02:26.555 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [unknown-node:8080] - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2025-12-02 18:02:26.827 [main] INFO  o.s.cloud.context.scope.GenericScope [unknown-node:8080] - BeanFactory id=6725b44a-fb62-3036-94f7-67c63f7588d5
2025-12-02 18:02:27.476 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [unknown-node:8080] - Tomcat initialized with port(s): 8080 (http)
2025-12-02 18:02:27.487 [main] INFO  o.a.catalina.core.StandardService [unknown-node:8080] - Starting service [Tomcat]
2025-12-02 18:02:27.487 [main] INFO  o.a.catalina.core.StandardEngine [unknown-node:8080] - Starting Servlet engine: [Apache Tomcat/9.0.68]
2025-12-02 18:02:27.659 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [unknown-node:8080] - Initializing Spring embedded WebApplicationContext
2025-12-02 18:02:27.660 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [unknown-node:8080] - Root WebApplicationContext: initialization completed in 2466 ms
2025-12-02 18:02:28.337 [main] INFO  com.zaxxer.hikari.HikariDataSource [unknown-node:8080] - HikariPool-1 - Starting...
2025-12-02 18:02:28.527 [main] INFO  com.zaxxer.hikari.HikariDataSource [unknown-node:8080] - HikariPool-1 - Start completed.
2025-12-02 18:02:29.507 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [unknown-node:8080] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-12-02 18:02:29.919 [main] DEBUG o.m.spring.SqlSessionFactoryBean [unknown-node:8080] - Property 'mapperLocations' was not specified or no matching resources found
2025-12-02 18:02:31.256 [main] WARN  org.elasticsearch.client.RestClient [unknown-node:8080] - request [HEAD http://localhost:9200/products?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.17.0-bee86328705acaa9a6daede7140defd4d9ec56bd "[ignore_throttled] parameter is deprecated because frozen indices have been deprecated. Consider cold or frozen tiers in place of frozen indices."]
2025-12-02 18:02:31.441 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration [unknown-node:8080] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
